,num-cars,num-peds,time
47,12,87,23.0
48,12,87,23.483333333333334
49,12,87,24.85
50,12,87,25.225
53,12,87,26.65
54,12,87,26.816666666666666
55,12,87,28.95
56,12,87,29.233333333333334
57,12,87,29.525
58,12,87,29.958333333333332
59,12,87,30.125
60,12,87,30.208333333333332
61,12,87,30.658333333333335
62,12,87,32.38333333333333
63,12,87,32.65
64,12,87,32.78333333333333
65,12,87,33.475
66,12,87,33.575
68,12,87,34.483333333333334
69,12,87,34.766666666666666
70,12,87,34.791666666666664
71,12,87,35.45
72,12,87,35.95
73,12,87,35.958333333333336
74,12,87,36.9
75,12,87,37.175
76,12,87,37.45
77,12,87,37.75
78,12,87,38.43333333333333
79,12,87,39.291666666666664
80,12,87,39.53333333333333
81,12,87,39.975
82,12,87,40.55
83,12,87,41.3
84,12,87,41.84166666666667
85,12,87,42.53333333333333
86,12,87,42.775
87,12,87,42.80833333333333
88,12,87,44.041666666666664
89,12,87,44.71666666666667
90,12,87,47.13333333333333
91,12,87,49.475
92,12,87,50.425
93,24,90,22.25
94,24,90,23.075
95,12,87,53.78333333333333
96,12,87,54.21666666666667
97,12,87,54.766666666666666
98,24,90,25.708333333333332
99,24,90,26.033333333333335
100,12,87,56.11666666666667
101,12,87,56.25833333333333
102,24,90,27.416666666666668
103,24,90,27.675
104,24,90,27.675
105,24,90,28.65
106,12,87,58.75
107,24,90,28.858333333333334
108,12,87,58.90833333333333
109,24,90,28.958333333333332
110,24,90,29.716666666666665
111,24,90,29.933333333333334
112,24,90,30.716666666666665
113,24,90,30.783333333333335
114,24,90,31.3
115,24,90,31.791666666666668
116,24,90,33.416666666666664
117,24,90,33.71666666666667
118,24,90,34.475
119,24,90,34.61666666666667
120,24,90,34.925
121,24,90,35.18333333333333
122,24,90,36.0
123,24,90,36.80833333333333
124,24,90,36.825
125,24,90,37.03333333333333
126,24,90,37.93333333333333
127,24,90,38.25
128,24,90,38.666666666666664
129,24,90,38.925
130,24,90,39.75833333333333
131,24,90,40.725
132,24,90,40.99166666666667
133,24,90,42.391666666666666
134,24,90,42.6
135,24,90,43.31666666666667
136,24,90,46.175
137,24,90,46.18333333333333
138,24,90,47.55
139,24,90,47.825
140,24,90,48.266666666666666
141,24,90,48.65833333333333
142,24,90,48.666666666666664
143,24,90,49.34166666666667
144,24,90,52.0
145,24,90,53.391666666666666
146,36,87,23.883333333333333
147,36,87,24.666666666666668
148,36,87,26.116666666666667
149,36,87,27.95
150,24,90,58.358333333333334
151,36,87,28.533333333333335
152,36,87,29.133333333333333
153,36,87,29.375
154,36,87,29.483333333333334
155,36,87,29.741666666666667
156,36,87,30.125
157,36,87,30.15
158,36,87,30.208333333333332
159,36,87,31.658333333333335
160,36,87,31.891666666666666
161,36,87,32.56666666666667
162,24,90,62.80833333333333
163,36,87,32.94166666666667
164,36,87,32.94166666666667
165,36,87,33.69166666666667
166,36,87,34.108333333333334
167,36,87,34.43333333333333
168,24,90,64.6
169,36,87,34.675
170,36,87,34.825
171,36,87,34.958333333333336
172,36,87,35.09166666666667
173,36,87,35.5
174,36,87,35.61666666666667
175,24,90,65.7
176,36,87,36.05833333333333
177,36,87,36.11666666666667
178,36,87,36.891666666666666
179,36,87,36.925
180,36,87,37.141666666666666
181,36,87,39.31666666666667
182,36,87,39.825
183,36,87,40.65833333333333
184,36,87,40.68333333333333
185,36,87,41.30833333333333
186,36,87,41.5
187,36,87,41.675
188,36,87,41.958333333333336
189,36,87,43.81666666666667
190,36,87,44.19166666666667
191,36,87,44.3
192,36,87,46.475
193,36,87,46.95
194,36,87,47.541666666666664
195,36,87,49.5
196,36,87,51.30833333333333
197,36,87,51.525
198,36,87,54.583333333333336
199,48,93,25.491666666666667
200,48,93,26.708333333333332
201,48,93,27.333333333333332
202,48,93,27.85
203,48,93,27.9
204,48,93,28.491666666666667
205,48,93,28.566666666666666
206,48,93,28.75
207,48,93,28.791666666666668
208,48,93,28.916666666666668
209,48,93,28.966666666666665
210,48,93,30.125
211,48,93,31.433333333333334
212,48,93,31.575
213,48,93,31.858333333333334
214,36,87,62.55
215,48,93,32.59166666666667
216,48,93,32.733333333333334
217,48,93,34.416666666666664
218,48,93,34.583333333333336
219,48,93,34.61666666666667
220,48,93,35.0
221,48,93,35.03333333333333
222,48,93,35.333333333333336
223,48,93,36.18333333333333
224,48,93,37.13333333333333
225,48,93,38.083333333333336
226,48,93,38.358333333333334
227,48,93,39.833333333333336
228,48,93,39.858333333333334
229,48,93,40.65833333333333
230,48,93,41.94166666666667
231,48,93,42.325
232,48,93,44.05833333333333
233,48,93,44.075
234,48,93,44.45
235,48,93,44.641666666666666
236,48,93,46.225
237,48,93,46.95
238,48,93,47.141666666666666
239,48,93,47.225
240,48,93,51.875
241,48,93,53.21666666666667
242,60,89,23.658333333333335
243,48,93,55.81666666666667
244,60,89,26.108333333333334
245,48,93,56.516666666666666
246,48,93,57.38333333333333
247,60,89,27.483333333333334
248,60,89,28.508333333333333
249,60,89,28.641666666666666
250,48,93,58.725
251,60,89,28.908333333333335
252,60,89,29.3
253,60,89,29.6
254,60,89,29.85
255,60,89,30.733333333333334
256,60,89,30.75
257,60,89,30.983333333333334
258,60,89,31.633333333333333
259,60,89,32.641666666666666
260,48,93,62.925
261,48,93,63.06666666666667
262,60,89,33.108333333333334
263,60,89,33.25833333333333
264,60,89,33.7
265,60,89,34.275
266,60,89,34.38333333333333
267,60,89,34.65833333333333
268,60,89,34.916666666666664
269,48,93,65.54166666666667
270,60,89,35.81666666666667
271,60,89,36.041666666666664
